run_category,start_date_converted,start_date_month,year,month,distance_km,name,run_moving_time,run_elapsed_time,total_elevation_gain,achievement_count,kudos_count,comment_count,average_cadence,pr_count,average_heartrate,max_heartrate
Regular,2022-07-25,2022-07-31,2022,7,8.51,Race Week shakeout ,0:42:09,0:42:29,23.0,1,58,1,88.4,0,151.7,176.0
Regular,2022-07-22,2022-07-31,2022,7,10.04,Lunch out and back,0:52:12,0:53:34,44.0,0,41,0,88.4,0,143.2,181.0
Regular,2022-07-21,2022-07-31,2022,7,10.17,Lunch Loop,0:53:49,0:53:52,48.0,0,39,0,87.6,0,147.9,178.0
Regular,2022-07-19,2022-07-31,2022,7,10.03,Lunch out and back,0:53:10,0:53:14,24.0,0,42,0,87.1,0,144.2,155.0
Regular,2022-07-18,2022-07-31,2022,7,8.14,Recovery 8,0:48:21,0:48:21,70.0,0,40,0,84.4,0,134.7,154.0
Regular,2022-07-17,2022-07-31,2022,7,21.63,Sunday long run,2:08:06,2:11:13,382.0,0,90,3,85.0,0,152.0,172.0
Regular,2022-07-15,2022-07-31,2022,7,6.52,Scribbly Blast,0:35:00,0:35:03,135.0,1,47,0,86.9,0,157.1,181.0
Regular,2022-07-14,2022-07-31,2022,7,7.19,Lunch Loop,0:37:22,0:38:47,72.0,0,37,0,88.3,0,143.0,171.0
Regular,2022-07-13,2022-07-31,2022,7,6.02,Easy 6,0:35:56,0:35:56,33.0,0,37,0,86.0,0,133.7,158.0
Regular,2022-07-13,2022-07-31,2022,7,10.01,Out and back,0:51:41,0:51:49,35.0,0,49,0,87.7,0,150.7,170.0
Regular,2022-07-12,2022-07-31,2022,7,9.64,Soggy lunch loop,0:54:06,0:54:06,39.0,0,41,0,86.5,0,134.9,163.0
Regular,2022-07-11,2022-07-31,2022,7,6.01,Easy double,0:37:24,0:37:28,32.0,0,37,0,84.5,0,125.7,141.0
Regular,2022-07-11,2022-07-31,2022,7,9.38,Inspired after watching all the BTU runners,0:47:50,0:47:50,38.0,0,54,0,88.4,0,153.2,173.0
Regular,2022-07-09,2022-07-31,2022,7,1.77,BTU Crew - Outbound,0:16:39,0:16:56,46.0,0,46,0,64.4,0,113.9,131.0
